diaper, nappy, napki nipple      bucket, pail  swing     
browbear, bruin, Ursus arctos  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  Arctic fox, white fox, Alopex lagopus  Norfolk terrier
radio telescope, radio reflector  solar dish, solar collector, solar furnace  sundial     pirate, pirate ship
swimming trunks, bathing trunks  sandbar, sand bar  seashore, coast, seacoast, sea-coast  soccer ball
spotlight, spot  chambered nautilus, pearly nautilus, nautilus  shower cap  head cabbage
bubble      nipple      bell pepper  spotlight, spot
pill bottle  matchstick  cor       ping-pong ball
wig         head cabbage  shower cap  plastic bag
face powder  balloo    golf ball   bathing cap, swimming cap
Weimaraner  bloodhound, sleuthhound  Labrador retriever  Rhodesiaridgeback
ice cream, icecream  pretzel     hermit crab  bubble    
strainer    washer, automatic washer, washing machine  hourglass   hand blower, blow dryer, blow drier, hair dryer, hair drier
spotlight, spot  sunglass    sunglasses, dark glasses, shades  car mirror
radio telescope, radio reflector  magnetic compass  solar dish, solar collector, solar furnace  spotlight, spot
sunglass    sunglasses, dark glasses, shades  car mirror  loupe, jeweler's loupe
spotlight, spot  car mirror  sunglass    sunglasses, dark glasses, shades
paintbrush  bathing cap, swimming cap  perfume, essence  screw     
hair slide  shower cap  maraca      wall clock
spotlight, spot  sunglass    loupe, jeweler's loupe  sunglasses, dark glasses, shades
bulletproof vest  Polaroid camera, Polaroid Land camera  spotlight, spot  military uniform
sunglass    sunglasses, dark glasses, shades  car mirror  television, televisiosystem
wall clock  analog clock  drum, membranophone, tympa nail      
face powder  dome        soccer ball  carto   
Egyptiacat  lynx, catamount  tabby, tabby cat  Siamese cat, Siamese
hair slide  cor       ear, spike, capitulum  daisy     
hourglass   wall clock  analog clock  bubble    
muzzle      plate rack  paddlewheel, paddle wheel  strainer  
spotlight, spot  car mirror  golf ball   loupe, jeweler's loupe
spotlight, spot  bubble      parachute, chute  toilet seat
spotlight, spot  bonnet, poke bonnet  gasmask, respirator, gas helmet  sombrero  
nipple      mask        nematode, nematode worm, roundworm  cup       
fire engine, fire truck  car mirror  half track  trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
face powder  hair slide  bonnet, poke bonnet  necklace  
pick, plectrum, plectro tick        consomme    chocolate sauce, chocolate syrup
toilet seat  chambered nautilus, pearly nautilus, nautilus  strainer    vase      
fireboat    spotlight, spot  radio telescope, radio reflector  parachute, chute
shower cap  face powder  spotlight, spot  pick, plectrum, plectron
monastery   bell cote, bell cot  birdhouse   pencil sharpener
golf ball   thimble     saltshaker, salt shaker  Petri dish
pencil sharpener  strainer    banded gecko  face powder
face powder  shower cap  spotlight, spot  lotio   
bubble      spotlight, spot  shower cap  canno   
ox          water buffalo, water ox, Asiatic buffalo, Bubalus bubalis  oxcart      balloo  
lab coat, laboratory coat  miniskirt, mini  bulletproof vest  jersey, T-shirt, tee shirt
sunglass    bathing cap, swimming cap  spotlight, spot  loupe, jeweler's loupe
perfume, essence  syringe     bubble      screw     
lab coat, laboratory coat  bow tie, bow-tie, bowtie  spotlight, spot  sunglasses, dark glasses, shades
radio telescope, radio reflector  water tower  sunglass    sunglasses, dark glasses, shades
spotlight, spot  shower cap  chiton, coat-of-mail shell, sea cradle, polyplacophore  web site, website, internet site, site
pick, plectrum, plectro saltshaker, salt shaker  face powder  mask      
spotlight, spot  pill bottle  bottlecap   digital watch
car mirror  balloo    alp         bathing cap, swimming cap
banded gecko  scorpio   commonewt, Triturus vulgaris  isopod    
hair slide  pinwheel    strainer    spotlight, spot
bubble      nipple      loupe, jeweler's loupe  jellyfish 
loupe, jeweler's loupe  spotlight, spot  goblet      hook, claw
shower cap  spotlight, spot  pick, plectrum, plectro face powder
Labrador retriever  tusker      Indiaelephant, Elephas maximus  ox        
spotlight, spot  plate rack  crib, cot   Windsor tie
spotlight, spot  bubble      vase        candle, taper, wax light
spotlight, spot  nipple      pill bottle  mortar    
loupe, jeweler's loupe  spotlight, spot  car mirror  hook, claw
nail        screw       hook, claw  Americaegret, great white heron, Egretta albus
sunglass    sunglasses, dark glasses, shades  loupe, jeweler's loupe  bubble    
chambered nautilus, pearly nautilus, nautilus  tick        mortar      face powder
screw       coil, spiral, volute, whorl, helix  face powder  nematode, nematode worm, roundworm
maraca      hair slide  screw       pill bottle
golf ball   ping-pong ball  tennis ball  saltshaker, salt shaker
chocolate sauce, chocolate syrup  bubble      tick        pick, plectrum, plectron
weasel      otter       sea lio   mink      
shower cap  head cabbage  pencil sharpener  face powder
necklace    shield, buckler  hair slide  loupe, jeweler's loupe
hermit crab  necklace    shower cap  bubble    
golf ball   honeycomb   face powder  cauliflower
toilet tissue, toilet paper, bathroom tissue  pencil sharpener  rule, ruler  hook, claw
ice cream, icecream  dough       chocolate sauce, chocolate syrup  plate     
parachute, chute  swing       shield, buckler  soccer ball
chimpanzee, chimp, Patroglodytes  macaque     tub, vat    bubble    
spotlight, spot  car mirror  planetarium  sunglass  
panpipe, pandeapipe, syrinx  spotlight, spot  digital watch  pencil sharpener
spotlight, spot  beaker      whistle     vase      
car mirror  bubble      sunglasses, dark glasses, shades  sunglass  
Weimaraner  Chesapeake Bay retriever  Germashort-haired pointer  hog, pig, grunter, squealer, Sus scrofa
strainer    lampshade, lamp shade  spotlight, spot  electric fan, blower
spotlight, spot  bubble      shower cap  jellyfish 
screw       grey fox, gray fox, Urocyocinereoargenteus  coyote, prairie wolf, brush wolf, Canis latrans  nail      
chimpanzee, chimp, Patroglodytes  siamang, Hylobates syndactylus, Symphalangus syndactylus  macaque     marmoset  
sunglasses, dark glasses, shades  sunglass    pick, plectrum, plectro loupe, jeweler's loupe
spotlight, spot  nail        hair slide  strainer  
pick, plectrum, plectro hair slide  jigsaw puzzle  necklace  
Indiacobra, Naja naja  microphone, mike  horned viper, cerastes, sand viper, horned asp, Cerastes cornutus  sidewinder, horned rattlesnake, Crotalus cerastes
thimble     face powder  pill bottle  Band Aid  
jellyfish   ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  bubble      plastic bag
puck, hockey puck  pick, plectrum, plectro rugby ball  toilet seat
thunder snake, worm snake, Carphophis amoenus  vine snake  night snake, Hypsiglena torquata  alligator lizard
hermit crab  screw       loggerhead, loggerhead turtle, Caretta caretta  leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
spotlight, spot  sunglass    notebook, notebook computer  sunglasses, dark glasses, shades
dumbbell    stretcher   barbell     tricycle, trike, velocipede
pill bottle  hair slide  abacus      golf ball 
face powder  pill bottle  toilet seat  thimble   
wombat      mink        otter       weasel    
wig         wool, woolen, woolle shower cap  feather boa, boa
white wolf, Arctic wolf, Canis lupus tundrarum  shower cap  Arctic fox, white fox, Alopex lagopus  plastic bag
bicycle-built-for-two, tandem bicycle, tandem  unicycle, monocycle  cornet, horn, trumpet, trump  mountaibike, all-terraibike, off-roader
chambered nautilus, pearly nautilus, nautilus  shower cap  jellyfish   spotlight, spot
spotlight, spot  screw       pick, plectrum, plectro loupe, jeweler's loupe
thimble     hair slide  conch       mortar    
shower cap  bathtub, bathing tub, bath, tub  tub, vat    valley, vale
pick, plectrum, plectro spindle     screw       loupe, jeweler's loupe
sunglass    sunglasses, dark glasses, shades  balloo    airship, dirigible
lacewing, lacewing fly  face powder  pick, plectrum, plectro nematode, nematode worm, roundworm
gong, tam-tam  sundial     radio telescope, radio reflector  spotlight, spot
car mirror  sunglass    spotlight, spot  sunglasses, dark glasses, shades
fire engine, fire truck  fireboat    television, televisiosystem  car mirror
plastic bag  bucket, pail  snorkel     spider monkey, Ateles geoffroyi
killer whale, killer, orca, grampus, sea wolf, Orcinus orca  spotlight, spot  fireboat    sunglass  
spotlight, spot  hourglass   water bottle  nipple    
Granny Smith  fig         chambered nautilus, pearly nautilus, nautilus  tick      
night snake, Hypsiglena torquata  vine snake  Indiacobra, Naja naja  thunder snake, worm snake, Carphophis amoenus
face powder  hair slide  strainer    pencil sharpener
balloo    toilet seat  sunglass    airship, dirigible
ping-pong ball  golf ball   croquet ball  lemo    
screw       bubble      isopod      goblet    
spotlight, spot  hair slide  remote control, remote  magnetic compass
colobus, colobus monkey  langur      chickadee   guenon, guenomonkey
hay         wool, woolen, woolle tennis ball  nail      
spotlight, spot  loupe, jeweler's loupe  goblet      bubble    
perfume, essence  medicine chest, medicine cabinet  spotlight, spot  refrigerator, icebox
mosque      rule, ruler  dome        syringe   
confectionery, confectionary, candy store  perfume, essence  spotlight, spot  face powder
perfume, essence  soap dispenser  pencil sharpener  spotlight, spot
spotlight, spot  chambered nautilus, pearly nautilus, nautilus  thimble     tennis ball
teddy, teddy bear  face powder  cauliflower  cup       
ping-pong ball  golf ball   pill bottle  pool table, billiard table, snooker table
strainer    hair slide  honeycomb   face powder
Norfolk terrier  Border terrier  otterhound, otter hound  Airedale, Airedale terrier
loupe, jeweler's loupe  screw       Petri dish  hair slide
bakery, bakeshop, bakehouse  confectionery, confectionary, candy store  dial telephone, dial phone  dining table, board
shower cap  maraca      hip, rose hip, rosehip  strainer  
cougar, puma, catamount, mountailion, painter, panther, Felis concolor  Egyptiacat  Siamese cat, Siamese  tabby, tabby cat
crane       drilling platform, offshore rig  airship, dirigible  space shuttle
bubble      jellyfish   screw       chambered nautilus, pearly nautilus, nautilus
pick, plectrum, plectro bathing cap, swimming cap  seashore, coast, seacoast, sea-coast  balloo  
Petri dish  face powder  bubble      loupe, jeweler's loupe
hourglass   chime, bell, gong  swing       bubble    
screw       bubble      shower cap  jellyfish 
spotlight, spot  puck, hockey puck  bubble      radio telescope, radio reflector
lab coat, laboratory coat  spotlight, spot  hoopskirt, crinoline  vestment  
pick, plectrum, plectro face powder  baseball    ping-pong ball
loupe, jeweler's loupe  spotlight, spot  face powder  perfume, essence
stone wall  bulletproof vest  cliff dwelling  megalith, megalithic structure
analog clock  screw       wall clock  syringe   
tiger, Panthera tigris  tiger cat   chambered nautilus, pearly nautilus, nautilus  pick, plectrum, plectron
plastic bag  piggy bank, penny bank  cup         shower cap
ping-pong ball  sunglass    rocking chair, rocker  paddle, boat paddle
sunglass    sunglasses, dark glasses, shades  car mirror  golf ball 
sax, saxophone  bubble      shower cap  hair slide
thimble     microphone, mike  spotlight, spot  loupe, jeweler's loupe
dining table, board  barber chair  rocking chair, rocker  barbershop
spotlight, spot  airship, dirigible  pill bottle  nipple    
face powder  screw       ice lolly, lolly, lollipop, popsicle  ice cream, icecream
lemo      jellyfish   spotlight, spot  nematode, nematode worm, roundworm
spotlight, spot  strainer    screw       shower cap
patas, hussar monkey, Erythrocebus patas  shower cap  guenon, guenomonkey  macaque   
digital clock  sunglasses, dark glasses, shades  sunglass    web site, website, internet site, site
bubble      goblet      strainer    spotlight, spot
loupe, jeweler's loupe  screw       nematode, nematode worm, roundworm  pick, plectrum, plectron
thunder snake, worm snake, Carphophis amoenus  ringneck snake, ring-necked snake, ring snake  Indiacobra, Naja naja  king snake, kingsnake
shower cap  pick, plectrum, plectro face powder  trilobite 
spotlight, spot  sidewinder, horned rattlesnake, Crotalus cerastes  horned viper, cerastes, sand viper, horned asp, Cerastes cornutus  hair slide
sunglass    spotlight, spot  sunglasses, dark glasses, shades  loupe, jeweler's loupe
nematode, nematode worm, roundworm  loupe, jeweler's loupe  pick, plectrum, plectro thunder snake, worm snake, Carphophis amoenus
face powder  mixing bowl  eggnog      spotlight, spot
Italiagreyhound  Weimaraner  puffer, pufferfish, blowfish, globefish  hog, pig, grunter, squealer, Sus scrofa
sunglass    sunglasses, dark glasses, shades  lakeside, lakeshore  television, televisiosystem
spotlight, spot  bubble      loupe, jeweler's loupe  sunglass  
sunglass    sunglasses, dark glasses, shades  airship, dirigible  spotlight, spot
face powder  shower cap  bonnet, poke bonnet  strainer  
mortar      cup         nematode, nematode worm, roundworm  coffee mug
chimpanzee, chimp, Patroglodytes  siamang, Hylobates syndactylus, Symphalangus syndactylus  titi, titi monkey  howler monkey, howler
bubble      sunglass    red wine    goblet    
jellyfish   spotlight, spot  sea urchi lemo    
spotlight, spot  chiton, coat-of-mail shell, sea cradle, polyplacophore  screw       honeycomb 
bubble      golf ball   spotlight, spot  balloo  
swab, swob, mop  hoopskirt, crinoline  bonnet, poke bonnet  shower cap
toy poodle  teddy, teddy bear  wig         miniature poodle
face powder  bonnet, poke bonnet  nematode, nematode worm, roundworm  Petri dish
shower cap  wig         chambered nautilus, pearly nautilus, nautilus  pick, plectrum, plectron
tub, vat    bathtub, bathing tub, bath, tub  wig         gorilla, Gorilla gorilla
hoopskirt, crinoline  shower cap  bonnet, poke bonnet  overskirt 
screw       bubble      ballpoint, ballpoint pen, ballpen, Biro  corkscrew, bottle screw
spotlight, spot  magnetic compass  vase        mouse, computer mouse
sundial     radio telescope, radio reflector  magnetic compass  solar dish, solar collector, solar furnace
face powder  dough       golf ball   shower cap
spotlight, spot  washbasin, handbasin, washbowl, lavabo, wash-hand basi tub, vat    toilet seat
shower cap  vase        balloo    spotlight, spot
radio telescope, radio reflector  baseball    puck, hockey puck  nail      
banded gecko  bubble      alligator lizard  jellyfish 
ping-pong ball  pill bottle  golf ball   cor     
spotlight, spot  car mirror  television, televisiosystem  shower cap
face powder  car mirror  sunglass    spotlight, spot
sunglass    sunglasses, dark glasses, shades  bubble      hourglass 
washbasin, handbasin, washbowl, lavabo, wash-hand basi tub, vat    bathtub, bathing tub, bath, tub  pick, plectrum, plectron
toilet seat  bathtub, bathing tub, bath, tub  nipple      tub, vat  
cup         necklace    strainer    hair slide
sunglasses, dark glasses, shades  bubble      scorpio   sunglass  
bubble      nipple      candle, taper, wax light  mortar    
bubble      consomme    plate       necklace  
chiton, coat-of-mail shell, sea cradle, polyplacophore  spotlight, spot  trilobite   shower cap
face powder  ping-pong ball  lotio     sunscreen, sunblock, sublocker
